Date,Open,High,Low,Close,Adj Close,Volume
1980-10-15,10.937500,11.187500,10.937500,11.187500,3.996508,77600
1980-10-16,11.187500,11.781250,10.968750,11.062500,3.951851,158400
1980-10-17,10.968750,10.968750,10.750000,10.781250,3.851383,33600
1980-10-20,10.781250,10.781250,10.656250,10.781250,3.851383,30400
1980-10-21,10.781250,10.968750,10.781250,10.875000,3.884873,36000
1980-10-22,10.875000,10.937500,10.750000,10.750000,3.840220,28000
1980-10-23,10.656250,10.656250,10.468750,10.562500,3.773238,63600
1980-10-24,10.562500,10.781250,10.250000,10.781250,3.851383,124800
1980-10-27,10.625000,10.625000,10.218750,10.343750,3.695092,63600
1980-10-28,10.343750,10.468750,10.343750,10.468750,3.739749,14800
1980-10-29,10.468750,10.625000,10.437500,10.468750,3.739749,38800
1980-10-30,10.468750,10.562500,10.218750,10.250000,3.661604,11600
1980-10-31,10.250000,10.250000,10.125000,10.250000,3.661604,50000
1980-11-03,10.250000,10.875000,10.250000,10.875000,3.884873,20000
1980-11-05,11.250000,11.750000,11.250000,11.250000,4.018836,183200
1980-11-06,11.250000,11.250000,11.156250,11.187500,3.996508,18800
1980-11-07,11.062500,11.062500,10.875000,10.968750,3.918363,35600
1980-11-10,11.031250,11.093750,11.031250,11.031250,3.940690,26400
1980-11-11,11.031250,11.031250,10.875000,11.031250,3.940690,41600
1980-11-12,11.156250,11.281250,11.156250,11.250000,4.018836,173600
1980-11-13,11.375000,11.406250,11.375000,11.406250,4.074652,230800
1980-11-14,11.406250,11.500000,11.250000,11.500000,4.108144,96400
1980-11-17,11.468750,11.468750,11.187500,11.468750,4.096979,72400
1980-11-18,11.468750,11.687500,11.406250,11.562500,4.130468,49200
1980-11-19,11.656250,11.875000,11.656250,11.750000,4.197449,119600
1980-11-20,11.750000,12.406250,11.750000,12.218750,4.364901,114000
1980-11-21,12.531250,12.843750,12.531250,12.812500,4.577009,89200
1980-11-24,12.593750,12.593750,12.187500,12.500000,4.465372,66800
1980-11-25,12.687500,13.125000,12.687500,13.093750,4.677476,191600
1980-11-26,13.093750,13.125000,12.812500,12.937500,4.621659,78000
1980-11-28,12.937500,13.000000,12.843750,13.000000,4.643987,58800
1980-12-01,13.000000,13.031250,12.718750,12.718750,4.543518,54400
1980-12-02,12.500000,12.500000,11.375000,11.687500,4.175123,103200
1980-12-03,12.000000,12.375000,12.000000,12.375000,4.420717,253600
1980-12-04,12.375000,12.406250,12.187500,12.218750,4.364901,52000
1980-12-05,12.000000,12.000000,11.593750,11.968750,4.275593,70800
1980-12-08,11.906250,11.906250,11.062500,11.093750,3.963019,112400
1980-12-09,11.093750,11.281250,11.062500,11.281250,4.029997,130000
1980-12-10,11.250000,11.250000,10.781250,11.062500,3.951851,43600
1980-12-11,11.062500,11.406250,10.843750,11.406250,4.074652,302400
1980-12-12,11.406250,11.781250,11.375000,11.781250,4.208613,84000
1980-12-15,11.875000,12.000000,11.875000,12.000000,4.286758,135600
1980-12-16,12.000000,12.000000,11.875000,11.906250,4.253267,36800
1980-12-17,12.000000,12.687500,12.000000,12.500000,4.465372,98000
1980-12-18,12.625000,13.218750,12.625000,12.718750,4.543518,82800
1980-12-19,12.718750,12.812500,12.625000,12.812500,4.577009,22800
1980-12-22,12.812500,12.937500,12.625000,12.718750,4.543518,37200
1980-12-23,12.718750,12.718750,12.500000,12.500000,4.465372,39600
1980-12-24,12.500000,13.031250,12.500000,13.031250,4.655148,55600
1980-12-26,12.937500,12.937500,12.906250,12.937500,4.621659,5200
1980-12-29,13.218750,13.531250,13.218750,13.218750,4.722131,75200
1980-12-30,13.218750,13.250000,12.843750,12.843750,4.588169,105600
1980-12-31,12.843750,12.843750,12.718750,12.718750,4.543518,103200
1981-01-02,12.718750,13.187500,12.718750,13.031250,4.655148,118000
1981-01-05,13.031250,13.093750,12.843750,12.906250,4.610498,70000
1981-01-06,12.843750,12.843750,12.312500,12.312500,4.398391,75600
1981-01-07,12.062500,12.062500,11.906250,12.000000,4.286758,280000
1981-01-08,12.000000,12.312500,11.593750,11.593750,4.141634,184400
1981-01-09,11.593750,11.781250,11.500000,11.593750,4.141634,256000
1981-01-12,11.593750,11.593750,11.156250,11.187500,3.996508,66400
1981-01-13,11.187500,11.187500,10.750000,11.187500,3.996508,111200
1981-01-14,11.187500,11.375000,11.187500,11.375000,4.063488,153200
1981-01-15,11.375000,11.593750,11.375000,11.593750,4.141634,24400
1981-01-16,11.593750,11.750000,11.562500,11.687500,4.175123,58000
1981-01-19,11.687500,11.750000,11.687500,11.750000,4.197449,34800
1981-01-20,11.750000,11.781250,11.593750,11.687500,4.175123,168800
1981-01-21,11.500000,11.500000,11.343750,11.343750,4.052325,100800
1981-01-22,11.343750,11.500000,11.281250,11.375000,4.063488,24800
1981-01-23,11.281250,11.281250,10.875000,11.031250,3.940690,52000
1981-01-26,11.031250,11.093750,10.843750,10.843750,3.873709,25200
1981-01-27,10.875000,11.250000,10.875000,10.937500,3.907203,39200
1981-01-28,11.031250,11.156250,11.031250,11.062500,3.951851,94400
1981-01-29,11.062500,11.093750,10.875000,11.062500,3.951851,20400
